PlanName,BeamSetName,TemplateName,TreatmentTechnique,PatientPosition,BeamName,BeamDescription,GantryStart,GantryStop,ArcDirection,CollimatorAngle,CouchAngle
HFP Beam Template,VMA_AbdPel_Ce_2A,AbdPelv Central 2Arc,VMAT,HeadFirstProne,1_<SITE>_Arc_c000,1 VMA: CW Arc,192,168,Clockwise,15,0
HFP Beam Template,VMA_AbdPel_Ce_2A,AbdPelv Central 2Arc,VMAT,HeadFirstProne,2_<SITE>_Arc_c000,2 VMA: CCW Arc,163,187,CounterClockwise,355,0
HFP Beam Template,VMA_AbdPel_Ce_3A,AbdPelv Central 3Arc,VMAT,HeadFirstProne,1_<SITE>_Arc_c000,1 VMA: CW Arc,192,168,Clockwise,15,0
HFP Beam Template,VMA_AbdPel_Ce_3A,AbdPelv Central 3Arc,VMAT,HeadFirstProne,2_<SITE>_Arc_c000,2 VMA: CCW Arc,163,187,CounterClockwise,355,0
HFP Beam Template,VMA_AbdPel_Ce_3A,AbdPelv Central 3Arc,VMAT,HeadFirstProne,3_<SITE>_Arc_c000,3 VMA: CW Arc,192,168,Clockwise,270,0
HFP Beam Template,VMA_AbdLun_Lt_2A,LungAbd Left 2Arc,VMAT,HeadFirstProne,1_<SITE>_Arc_c000,1 VMA: CW Arc,346,178,Clockwise,15,0
HFP Beam Template,VMA_AbdLun_Lt_2A,LungAbd Left 2Arc,VMAT,HeadFirstProne,2_<SITE>_Arc_c000,2 VMA: CCW Arc,173,341,CounterClockwise,350,0
HFP Beam Template,VMA_AbdLun_Lt_4A,LungAbd Left NORPM 4Arc ,VMAT,HeadFirstProne,1_<SITE>_Arc_c000,1 VMA: CW Arc,346,178,Clockwise,15,0
HFP Beam Template,VMA_AbdLun_Lt_4A,LungAbd Left NORPM 4Arc ,VMAT,HeadFirstProne,2_<SITE>_Arc_c000,2 VMA: CCW Arc,173,341,CounterClockwise,355,0
HFP Beam Template,VMA_AbdLun_Lt_4A,LungAbd Left NORPM 4Arc ,VMAT,HeadFirstProne,3_<SITE>_Arc_c015,3 VMA: CW Arc,344,80,Clockwise,10,15
HFP Beam Template,VMA_AbdLun_Lt_4A,LungAbd Left NORPM 4Arc ,VMAT,HeadFirstProne,4_<SITE>_Arc_c090,4 VMA: CCW Arc,21,333,CounterClockwise,90,90
HFP Beam Template,VMA_AbdLun_Rt_2A,LungAbd Right 2Arc,VMAT,HeadFirstProne,1_<SITE>_Arc_c000,1 VMA: CW Arc,182,14,Clockwise,15,0
