PlanName,BeamSetName,TemplateName,TreatmentTechnique,PatientPosition,BeamName,BeamDescription,GantryStart,GantryStop,ArcDirection,CollimatorAngle,CouchAngle)
HFS BeamTemplate-VMAT,VMAT_Brai_CenAnt,Brai CentralAnterior 5Arc,VMAT,HeadFirstSupine,1_<SITE>_Arc_c000,1 VMA: CW Arc,300,60,Clockwise,270,0
HFS BeamTemplate-VMAT,VMAT_Brai_CenAnt,Brai CentralAnterior 5Arc,VMAT,HeadFirstSupine,2_<SITE>_Arc_c072,2 VMA: CCW Arc,10,250,CounterClockwise,355,72
HFS BeamTemplate-VMAT,VMAT_Brai_CenAnt,Brai CentralAnterior 5Arc,VMAT,HeadFirstSupine,3_<SITE>_Arc_c036,3 VMA: CW Arc,252,12,Clockwise,25,36
HFS BeamTemplate-VMAT,VMAT_Brai_CenAnt,Brai CentralAnterior 5Arc,VMAT,HeadFirstSupine,4_<SITE>_Arc_c324,4 VMA: CCW Arc,108,348,CounterClockwise,345,324
HFS BeamTemplate-VMAT,VMAT_Brai_CenAnt,Brai CentralAnterior 5Arc,VMAT,HeadFirstSupine,5_<SITE>_Arc_c288,5 VMA: CW Arc,350,110,Clockwise,5,288
HFS BeamTemplate-VMAT,VMAT_Brai_CenMid,Brai CentralMid 6Arc,VMAT,HeadFirstSupine,1_<SITE>_Arc_c000,1 VMA: CW Arc,240,300,Clockwise,15,0
HFS BeamTemplate-VMAT,VMAT_Brai_CenMid,Brai CentralMid 6Arc,VMAT,HeadFirstSupine,2_<SITE>_Arc_c000,2 VMA: CW Arc,60,120,Clockwise,350,0
HFS BeamTemplate-VMAT,VMAT_Brai_CenMid,Brai CentralMid 6Arc,VMAT,HeadFirstSupine,3_<SITE>_Arc_c072,3 VMA: CCW Arc,340,220,CounterClockwise,355,72
HFS BeamTemplate-VMAT,VMAT_Brai_CenMid,Brai CentralMid 6Arc,VMAT,HeadFirstSupine,4_<SITE>_Arc_c036,4 VMA: CW Arc,222,342,Clockwise,25,36
HFS BeamTemplate-VMAT,VMAT_Brai_CenMid,Brai CentralMid 6Arc,VMAT,HeadFirstSupine,5_<SITE>_Arc_c324,5 VMA: CCW Arc,150,30,CounterClockwise,345,324
HFS BeamTemplate-VMAT,VMAT_Brai_CenMid,Brai CentralMid 6Arc,VMAT,HeadFirstSupine,6_<SITE>_Arc_c288,6 VMA: CW Arc,32,152,Clockwise,5,288
HFS BeamTemplate-VMAT,VMAT_Brai_CenPos,Brai CentralPosterior 6Arc,VMAT,HeadFirstSupine,1_<SITE>_Arc_c000,1 VMA: CW Arc,210,270,Clockwise,15,0
HFS BeamTemplate-VMAT,VMAT_Brai_CenPos,Brai CentralPosterior 6Arc,VMAT,HeadFirstSupine,2_<SITE>_Arc_c000,2 VMA: CW Arc,90,150,Clockwise,350,0
HFS BeamTemplate-VMAT,VMAT_Brai_CenPos,Brai CentralPosterior 6Arc,VMAT,HeadFirstSupine,3_<SITE>_Arc_c072,3 VMA: CCW Arc,310,190,CounterClockwise,355,72
HFS BeamTemplate-VMAT,VMAT_Brai_CenPos,Brai CentralPosterior 6Arc,VMAT,HeadFirstSupine,4_<SITE>_Arc_c036,4 VMA: CW Arc,192,312,Clockwise,25,36
HFS BeamTemplate-VMAT,VMAT_Brai_CenPos,Brai CentralPosterior 6Arc,VMAT,HeadFirstSupine,5_<SITE>_Arc_c324,5 VMA: CCW Arc,179,59,CounterClockwise,345,324
HFS BeamTemplate-VMAT,VMAT_Brai_CenPos,Brai CentralPosterior 6Arc,VMAT,HeadFirstSupine,6_<SITE>_Arc_c288,6 VMA: CW Arc,57,177,Clockwise,5,288
HFS BeamTemplate-VMAT,VMAT_Brai_LefAnt,Brai  LeftAnterior 5Arc,VMAT,HeadFirstSupine,1_<SITE>_Arc_c000,1 VMA: CW Arc,345,105,Clockwise,270,0
HFS BeamTemplate-VMAT,VMAT_Brai_LefAnt,Brai  LeftAnterior 5Arc,VMAT,HeadFirstSupine,2_<SITE>_Arc_c330,2 VMA: CCW Arc,108,348,CounterClockwise,355,330
HFS BeamTemplate-VMAT,VMAT_Brai_LefAnt,Brai  LeftAnterior 5Arc,VMAT,HeadFirstSupine,3_<SITE>_Arc_c300,3 VMA: CW Arc,350,110,Clockwise,25,300
HFS BeamTemplate-VMAT,VMAT_Brai_LefAnt,Brai  LeftAnterior 5Arc,VMAT,HeadFirstSupine,4_<SITE>_Arc_c270,4 VMA: CCW Arc,112,352,CounterClockwise,345,270
HFS BeamTemplate-VMAT,VMAT_Brai_LefAnt,Brai  LeftAnterior 5Arc,VMAT,HeadFirstSupine,5_<SITE>_Arc_c060,5 VMA: CW Arc,252,12,Clockwise,5,60
HFS BeamTemplate-VMAT,VMAT_Brai_LefMid,Brai LeftMid 5Arc,VMAT,HeadFirstSupine,1_<SITE>_Arc_c000,1 VMA: CW Arc,15,135,Clockwise,15,0
HFS BeamTemplate-VMAT,VMAT_Brai_LefMid,Brai LeftMid 5Arc,VMAT,HeadFirstSupine,2_<SITE>_Arc_c330,2 VMA: CCW Arc,138,18,CounterClockwise,355,330
HFS BeamTemplate-VMAT,VMAT_Brai_LefMid,Brai LeftMid 5Arc,VMAT,HeadFirstSupine,3_<SITE>_Arc_c300,3 VMA: CW Arc,20,140,Clockwise,25,300
HFS BeamTemplate-VMAT,VMAT_Brai_LefMid,Brai LeftMid 5Arc,VMAT,HeadFirstSupine,4_<SITE>_Arc_c270,4 VMA: CCW Arc,142,22,CounterClockwise,345,270
